1469644103,7620244
734729197,4248021
489757571,26702267
367271759,929626
293780273,6844655
244785949,7532243
209790004,2017821
183543045,10039672
163128743,61395392
146797302,44801956
133435214,23669805
122300140,73781793
112878155,47702909
104802168,11610639
97802979,07405607
91678688,66537184
86274903,0130608
81471537,99068138
77173790,34059219
73305817,456734
69806222,94376475
66624773,38734235
63719971,61911902
61057236,665487915
58607520,508631885
56346244,056561604
54252469,56425673
52308250,39313454
50498115,30304238
48808655,885851786
47228193,85061535
45746510,69275679
44354626,51431712
43044617,875922635
41809466,87412947
40642935,37254432
39539459,62789853
38494061,5541105
37502273,63803079
36560075,117825575
35663837,501108766
34810277,86619817
33996418,679475434
33219553,09219702
32477214,864396844
31767152,211758304
31087304,99118351
30435784,738166217
29810857,148568254
29210926,66258264
28634522,862348188
28080288,439070083
27546968,522353206
27033401,195165172
26538509,043530557
26061291,611615125
25600818,651011683
25156224,068375655
24726700,48855537
24311494,361409344
23909901,549920127
23521263,345265027
23144962,861403774
22780421,767673638
22427097,32299116
22084479,679671913
21752089,428699255
21429475,361586895
21116212,426862314
20811899,861708567
20516159,481495596
20228634,111850582
19948986,149599236
19676896,240387525
19412062,062093627
19154197,204286367
18903030,134998523
18658303,246979162
18419771,97638248
18187203,98755495
17960378,418208677
17739085,179825906
17523124,308636736
17312305,362955548
17106446,863058414
16905375,770138796
16708927,001197366
16516942,977007492
16329273,200554974
16145773,863581818
15966307,47907213
15790742,537706373
15618953,186479812
15450818,92783476
15286224,337794878
15125058,80171619
14967216,26638334
14812595,007283647
14661097,40998574
